centroid_mean,centroid_std,rolloff_mean,rolloff_std,flux_mean,flux_std,zcr_mean,zcr_std,mfcc_m1,mfcc_m2,mfcc_m3,mfcc_m4,mfcc_m5,mfcc_m6,mfcc_m7,mfcc_m8,mfcc_m9,mfcc_m10,mfcc_m11,mfcc_m12,mfcc_m13,mfcc_std1,mfcc_std2,mfcc_std3,mfcc_std4,mfcc_std5,mfcc_std6,mfcc_std7,mfcc_std8,mfcc_std9,mfcc_std10,mfcc_std11,mfcc_std12,mfcc_std13,technique
3513.988615,1435.172098,7611.269531,2529.816486,0.000433852,0.000655415,0.124974301,0.08891144,-735.46875,62.13469315,24.24985695,9.467791557,16.50589561,9.931204796,23.53627396,16.7653141,13.2746954,-4.658601284,-12.56181431,-11.64419842,-6.832042694,113.7007675,18.59775925,34.39043808,22.70976067,11.69600296,6.747836113,8.056577682,9.524282455,6.31470108,6.238350868,4.671928406,5.156553268,4.291752815,1
3662.303812,1486.853833,7880.578125,2382.82959,0.000345099,0.000477036,0.127274363,0.089793964,-752.1144409,59.96248627,31.26103401,8.375237465,16.38390541,9.128264427,23.8607235,19.64419556,16.88341713,-1.7418679,-10.7580471,-8.742301941,-3.443212509,107.2244263,22.67326546,30.52855873,21.84810829,11.21861458,6.546153545,8.901071548,8.44699192,4.497638702,6.167607307,4.373990536,4.482215405,3.752289295,1
3146.68903,1261.767024,7114.031982,2630.343263,0.000779999,0.001506458,0.105211046,0.061603849,-697.9105225,73.95980072,15.25378799,8.824258804,10.42154217,8.066009521,20.99821281,16.81614494,13.73472595,-4.71824789,-13.59838676,-11.21390915,-5.2783494,127.6799164,16.40315628,35.53288269,29.94621849,14.01143932,6.448170662,10.15776539,7.304120064,6.644827366,6.55113554,4.263711929,2.936403036,3.223305941,1
3253.29876,1319.783597,7281.738281,2603.85674,0.00061038,0.001113297,0.11081345,0.072769444,-711.9213867,71.6463623,19.00801086,5.526019096,11.11395359,12.16592979,26.47974396,17.66996193,11.49551868,-6.350935459,-14.78633881,-13.18965054,-7.318183899,123.2380219,19.01348877,33.24363708,27.84626579,12.35040474,5.385615826,9.93113327,7.244530678,4.070801735,5.119762421,4.476804733,4.183942318,3.406884909,1
2844.319022,1047.64745,6649.392892,2644.596145,0.001237514,0.002580669,0.109646267,0.063495595,-660.6751099,86.38641357,5.736411095,6.922087193,8.510996819,6.351784706,16.87531853,10.32189465,6.245764256,-9.97928524,-16.07490921,-12.75248718,-7.699113846,143.0089569,15.20783901,36.32712936,27.11718369,16.55555916,7.069741249,11.71903515,5.85073328,6.209505081,8.107354164,6.492981434,4.924266815,3.552465916,1
2865.046799,993.9506128,6729.201267,2583.529922,0.001204194,0.002572067,0.110894097,0.053790751,-663.0314331,87.5651474,4.918483734,2.6162889,8.837849617,9.409998894,20.81425476,13.60658741,8.664388657,-9.459276199,-17.27895355,-12.86449528,-4.54110527,139.4911041,14.81145763,34.69464874,30.65493965,16.57386017,7.874214172,12.36620426,5.55963707,4.273880005,6.144702435,5.761539936,5.419133663,4.00534296,1
2874.887803,1049.01562,6653.006856,2597.690391,0.001442876,0.003349251,0.120524089,0.062180391,-654.2632446,88.22055054,1.812800527,1.500535369,9.665555954,8.933554649,14.01138878,6.521520615,4.422243118,-9.513267517,-17.23262405,-14.47122002,-7.481981277,146.0338745,16.72747421,33.26175308,33.90475845,16.18296051,7.528949261,11.04982853,4.131682396,5.050847054,8.689312935,6.78985548,4.230441093,3.90722084,1
2802.62529,1016.429506,6553.622842,2611.660247,0.001388511,0.003236047,0.108615451,0.055606143,-656.006897,90.37979126,2.693748951,0.160516426,8.189385414,10.93291378,18.92741776,10.12309265,5.873227119,-8.923100471,-15.15389538,-10.27419281,-3.159445524,142.918396,15.59445381,34.82291412,32.72208023,15.38234806,7.146425724,13.37363243,7.442137241,6.541123867,8.501552582,6.43543148,3.987594843,3.947013617,1
2544.669729,740.9568732,6142.534419,2430.200042,0.002119662,0.004888519,0.100911458,0.025039726,-612.8926392,89.6214447,-12.32800961,-0.218650505,-5.012598991,4.73999548,11.47075462,8.538409233,4.635514259,-12.91131878,-17.99978447,-14.87571239,-4.479821682,149.4099579,17.91946793,29.16472626,29.21009827,13.41187859,6.852042198,13.15576363,5.63167572,6.683742523,7.448643208,7.616785526,4.874410152,2.630709648,1
2390.806592,712.8031123,5910.337221,2405.078404,0.002263309,0.004974758,0.092244466,0.02998822,-603.1043701,93.00002289,-7.760191917,4.980559826,-5.338229179,7.127162457,14.36742687,12.19166279,4.953713894,-10.86886883,-13.65817165,-8.987401009,-3.104809046,147.3739166,17.99568939,27.88736725,28.78581238,12.84910297,7.874346733,12.6196928,7.019869328,7.257425308,9.539399147,10.02787781,6.140723228,4.075485229,1
